Team,Player,Event,EventID,X,Y,X2,Y2,Babak,Opponent,Mins,Secs
Home,Roni S,Pass,1,50,49,38,49,1,Bagundal Cicalengka,0,0
Home,Surya G,Pass,2,37,50,37,35,1,Bagundal Cicalengka,0,0
Home,Anggara,Pass,3,38,37,28,24,1,Bagundal Cicalengka,0,0
Home,Antonius,Pass,4,26,22,20,39,1,Bagundal Cicalengka,0,0
Home,Agil,Pass,5,21,49,24,25,1,Bagundal Cicalengka,0,0
Home,Antonius,Pass,6,24,24,14,50,1,Bagundal Cicalengka,0,0
Home,Agil,Pass,7,17,41,46,84,1,Bagundal Cicalengka,0,0
Home,Andri V,Pass,8,64,84,72,62,1,Bagundal Cicalengka,0,0
Home,Hafidz,Pass Fail,9,75,58,83,78,1,Bagundal Cicalengka,0,0
Home,Roni S,Tackle,10,43,49,-,-,1,Bagundal Cicalengka,0,0
Home,Roni S,Pass,11,44,49,36,49,1,Bagundal Cicalengka,0,0
Home,Surya G,Pass,12,36,50,23,52,1,Bagundal Cicalengka,0,0
Home,Agil,Pass,13,24,34,23,53,1,Bagundal Cicalengka,0,0
Home,Ali M,Pass,14,21,64,34,82,1,Bagundal Cicalengka,0,0
Home,Andri V,Pass,15,29,81,47,65,1,Bagundal Cicalengka,0,0
Home,Hafidz,Pass Fail,16,57,62,72,64,1,Bagundal Cicalengka,0,0
Home,Anggara,Intercept,17,48,43,-,-,1,Bagundal Cicalengka,0,0
Home,Antonius,Intercept,18,21,29,-,-,1,Bagundal Cicalengka,0,0
Home,Antonius,Pass,19,23,26,35,8,1,Bagundal Cicalengka,0,0
Home,Ammar,Pass,20,31,11,20,33,1,Bagundal Cicalengka,0,0
Home,Agil,Pass,21,22,33,21,56,1,Bagundal Cicalengka,0,0
Home,Andri V,Pass,22,30,84,64,85,1,Bagundal Cicalengka,0,0
Home,Fikri N,Pass Fail,23,59,81,59,58,1,Bagundal Cicalengka,0,0
Home,Ammar,Intercept,24,69,23,-,-,1,Bagundal Cicalengka,0,0
Home,Ammar,Pass,25,77,24,91,60,1,Bagundal Cicalengka,0,0
Home,Ammar,Assist,26,80,26,90,59,1,Bagundal Cicalengka,0,0
Home,Roni S,Intercept,27,41,16,-,-,1,Bagundal Cicalengka,0,0
Home,Roni S,Pass,28,41,17,29,20,1,Bagundal Cicalengka,0,0
Home,Anggara,Pass,29,31,22,32,40,1,Bagundal Cicalengka,0,0
Home,Surya G,Pass Fail,30,35,36,44,37,1,Bagundal Cicalengka,0,0
Home,Rizki M,Pass,31,3,44,6,38,1,Bagundal Cicalengka,0,0
Home,Agil,Pass,32,8,33,4,43,1,Bagundal Cicalengka,0,0
Home,Rizki M,Pass Fail,33,4,50,39,93,1,Bagundal Cicalengka,0,0
Home,Ali M,Tackle,34,13,84,-,-,1,Bagundal Cicalengka,0,0
Home,Ali M,Pass,35,13,83,21,87,1,Bagundal Cicalengka,0,0
Home,Andri V,Pass Fail,36,19,83,70,86,1,Bagundal Cicalengka,0,0
Home,Roni S,Intercept,37,45,27,-,-,1,Bagundal Cicalengka,0,0
Home,Roni S,Pass,38,39,28,29,17,1,Bagundal Cicalengka,0,0
Home,Antonius,Pass,39,28,21,41,13,1,Bagundal Cicalengka,0,0
Home,Anggara,Pass Fail,40,36,17,87,40,1,Bagundal Cicalengka,0,0
Home,Ammar,Tackle Fail,41,63,11,54,10,1,Bagundal Cicalengka,0,0
Home,Antonius,Intercept,42,24,18,-,-,1,Bagundal Cicalengka,0,0
Home,Antonius,Pass Fail,43,27,20,45,31,1,Bagundal Cicalengka,0,0
Home,Antonius,Tackle Fail,44,36,10,-,-,1,Bagundal Cicalengka,0,0
Home,Ali M,Intercept,45,10,49,-,-,1,Bagundal Cicalengka,0,0
Home,Ali M,Pass,46,12,48,12,61,1,Bagundal Cicalengka,0,0
Home,Rizki M,Pass,47,5,44,8,59,1,Bagundal Cicalengka,0,0
Home,Ali M,Pass,48,10,64,11,48,1,Bagundal Cicalengka,0,0
Home,Surya G,Pass,49,9,55,14,16,1,Bagundal Cicalengka,0,0
Home,Antonius,Pass,50,20,10,40,11,1,Bagundal Cicalengka,0,0
Home,Ammar,Pass Fail,51,36,15,73,32,1,Bagundal Cicalengka,0,0
Home,Andri V,Pass,52,17,84,32,82,1,Bagundal Cicalengka,0,0
Home,Anggara,Pass Fail,53,21,79,36,82,1,Bagundal Cicalengka,0,0
Home,Andri V,Pass,54,26,91,27,78,1,Bagundal Cicalengka,0,0
Home,Anggara,Pass,55,25,71,31,85,1,Bagundal Cicalengka,0,0
Home,Andri V,Pass,56,54,88,59,71,1,Bagundal Cicalengka,0,0
Home,Hafidz,Pass Fail,57,71,61,66,0,1,Bagundal Cicalengka,0,0
Home,Agil,Pass,58,18,33,32,41,1,Bagundal Cicalengka,0,0
Home,Surya G,Pass,59,30,40,27,23,1,Bagundal Cicalengka,0,0
Home,Rizki M,Pass,60,13,52,16,33,1,Bagundal Cicalengka,0,0
Home,Agil,Pass,61,15,32,20,15,1,Bagundal Cicalengka,0,0
Home,Antonius,Yellow Card,62,20,13,-,-,1,Bagundal Cicalengka,0,0
Home,Antonius,Tackle Fail,63,22,14,-,-,1,Bagundal Cicalengka,0,0
Home,Rizki M,Pass,64,7,50,55,77,1,Bagundal Cicalengka,0,0
Home,Andri V,Pass,65,55,76,49,52,1,Bagundal Cicalengka,0,0
Home,Andri V,Tackle Fail,66,22,82,-,-,1,Bagundal Cicalengka,0,0
Home,Rizki M,Save,67,1,49,-,-,1,Bagundal Cicalengka,0,0
Home,Agil,Pass,68,8,33,25,15,1,Bagundal Cicalengka,0,0
Home,Antonius,Pass,69,23,18,23,32,1,Bagundal Cicalengka,0,0
Home,Surya G,Pass,70,22,39,23,17,1,Bagundal Cicalengka,0,0
Home,Antonius,Pass,71,27,15,20,30,1,Bagundal Cicalengka,0,0
Home,Surya G,Pass,72,26,29,12,39,1,Bagundal Cicalengka,0,0
Home,Agil,Pass,73,11,39,19,19,1,Bagundal Cicalengka,0,0
Home,Surya G,Pass Fail,74,10,34,29,54,1,Bagundal Cicalengka,0,0
Home,Rizki M,Save,75,4,53,-,-,1,Bagundal Cicalengka,0,0
Home,Rizki M,Pass Fail,76,5,48,75,52,1,Bagundal Cicalengka,0,0
Home,Hafidz,Goal,77,89,49,99,45,1,Bagundal Cicalengka,0,0
Home,Fikri N,Goal,78,93,67,98,57,1,Bagundal Cicalengka,0,0
Home,Antonius,Pass,79,20,36,80,60,1,Bagundal Cicalengka,0,0
Home,Antonius,Pass,80,26,37,48,56,1,Bagundal Cicalengka,0,0
Home,Surya G,Pass,81,51,52,18,38,1,Bagundal Cicalengka,0,0
Home,Ali M,Pass,82,16,37,16,56,1,Bagundal Cicalengka,0,0
Home,Agil,Pass,83,15,56,24,81,1,Bagundal Cicalengka,0,0
Home,Agil,Pass,84,25,71,18,33,1,Bagundal Cicalengka,0,0
Home,Ammar,Tackle Fail,85,45,28,-,-,1,Bagundal Cicalengka,0,0
Home,Agil,Tackle,86,5,26,-,-,1,Bagundal Cicalengka,0,0
